state,district,month,total_enrol,total_demo_updates,total_bio_updates,total_updates,service_ratio
Himachal Pradesh,Hamirpur,2025-11,26.0,193.0,385.0,578.0,21.40740740740741
Himachal Pradesh,Hamirpur,2025-12,32.0,202.0,380.0,582.0,17.636363636363637
Himachal Pradesh,Hamirpur,NaT,819.0,2558.0,5369.0,7927.0,9.667073170731708
Himachal Pradesh,Kangra,2025-01,66.0,7197.0,51007.0,58204.0,868.7164179104477
Himachal Pradesh,Kangra,2025-02,106.0,726.0,1991.0,2717.0,25.39252336448598
Himachal Pradesh,Kangra,2025-03,87.0,860.0,1897.0,2757.0,31.329545454545453
Himachal Pradesh,Kangra,2025-04,47.0,761.0,1070.0,1831.0,38.145833333333336
Himachal Pradesh,Kangra,2025-05,131.0,637.0,1315.0,1952.0,14.787878787878787
Himachal Pradesh,Kangra,2025-06,113.0,721.0,1774.0,2495.0,21.885964912280706
Himachal Pradesh,Kangra,2025-07,49.0,381.0,1066.0,1447.0,28.94
Himachal Pradesh,Kangra,2025-08,137.0,898.0,1116.0,2014.0,14.594202898550725
Himachal Pradesh,Kangra,2025-09,136.0,820.0,1358.0,2178.0,15.897810218978105
Himachal Pradesh,Kangra,2025-10,149.0,860.0,1311.0,2171.0,14.473333333333333
Himachal Pradesh,Kangra,2025-11,112.0,910.0,1724.0,2634.0,23.309734513274336
Himachal Pradesh,Kangra,2025-12,81.0,1027.0,1500.0,2527.0,30.817073170731707
Himachal Pradesh,Kangra,NaT,2634.0,10371.0,20358.0,30729.0,11.661859582542697
Himachal Pradesh,Kinnaur,2025-01,0.0,40.0,2614.0,2654.0,2654.0
Himachal Pradesh,Kinnaur,2025-02,3.0,30.0,72.0,102.0,25.5
Himachal Pradesh,Kinnaur,2025-03,6.0,17.0,78.0,95.0,13.571428571428571
Himachal Pradesh,Kinnaur,2025-04,2.0,22.0,29.0,51.0,17.0
Himachal Pradesh,Kinnaur,2025-05,7.0,37.0,60.0,97.0,12.125
Himachal Pradesh,Kinnaur,2025-06,5.0,39.0,86.0,125.0,20.83333333333333
Himachal Pradesh,Kinnaur,2025-07,3.0,25.0,50.0,75.0,18.75
Himachal Pradesh,Kinnaur,2025-08,4.0,52.0,65.0,117.0,23.4
Himachal Pradesh,Kinnaur,2025-09,6.0,39.0,79.0,118.0,16.857142857142858
Himachal Pradesh,Kinnaur,2025-10,4.0,38.0,65.0,103.0,20.6
Himachal Pradesh,Kinnaur,2025-11,7.0,32.0,73.0,105.0,13.125
Himachal Pradesh,Kinnaur,2025-12,3.0,51.0,68.0,119.0,29.75
Himachal Pradesh,Kinnaur,NaT,110.0,471.0,963.0,1434.0,12.91891891891892
Himachal Pradesh,Kullu,2025-01,124.0,1354.0,12647.0,14001.0,112.008
Himachal Pradesh,Kullu,2025-02,41.0,141.0,546.0,687.0,16.357142857142858
Himachal Pradesh,Kullu,2025-03,20.0,162.0,461.0,623.0,29.666666666666668
Himachal Pradesh,Kullu,2025-04,0.0,136.0,174.0,310.0,310.0
Himachal Pradesh,Kullu,2025-05,22.0,133.0,214.0,347.0,15.08695652173913
Himachal Pradesh,Kullu,2025-06,28.0,240.0,407.0,647.0,22.310344827586206
Himachal Pradesh,Kullu,2025-07,21.0,108.0,234.0,342.0,15.545454545454543
Himachal Pradesh,Kullu,2025-08,41.0,291.0,310.0,601.0,14.30952380952381
Himachal Pradesh,Kullu,2025-09,20.0,233.0,297.0,530.0,25.23809523809524
Himachal Pradesh,Kullu,2025-10,30.0,299.0,284.0,583.0,18.806451612903224
Himachal Pradesh,Kullu,2025-11,38.0,298.0,373.0,671.0,17.205128205128204
Himachal Pradesh,Kullu,2025-12,26.0,303.0,239.0,542.0,20.074074074074076
Himachal Pradesh,Kullu,NaT,783.0,3603.0,4413.0,8016.0,10.224489795918368
Himachal Pradesh,Lahaul And Spiti,2025-01,0.0,0.0,3.0,3.0,3.0
Himachal Pradesh,Lahaul And Spiti,2025-02,0.0,1.0,3.0,4.0,4.0
Himachal Pradesh,Lahaul And Spiti,2025-03,0.0,2.0,1.0,3.0,3.0
Himachal Pradesh,Lahaul And Spiti,2025-04,0.0,2.0,0.0,2.0,2.0
Himachal Pradesh,Lahaul And Spiti,2025-05,0.0,1.0,0.0,1.0,1.0
Himachal Pradesh,Lahaul And Spiti,2025-06,0.0,2.0,0.0,2.0,2.0
Himachal Pradesh,Lahaul And Spiti,2025-07,0.0,6.0,1.0,7.0,7.0
Himachal Pradesh,Lahaul And Spiti,2025-08,0.0,5.0,7.0,12.0,12.0
Himachal Pradesh,Lahaul And Spiti,2025-09,0.0,1.0,4.0,5.0,5.0
Himachal Pradesh,Lahaul And Spiti,2025-10,0.0,1.0,1.0,2.0,2.0
Himachal Pradesh,Lahaul And Spiti,2025-11,0.0,2.0,5.0,7.0,7.0
Himachal Pradesh,Lahaul And Spiti,2025-12,0.0,2.0,0.0,2.0,2.0
Himachal Pradesh,Lahaul And Spiti,NaT,3.0,21.0,20.0,41.0,10.25
Himachal Pradesh,Lahul & Spiti,2025-01,0.0,9.0,106.0,115.0,115.0
Himachal Pradesh,Lahul & Spiti,2025-02,0.0,6.0,16.0,22.0,22.0
Himachal Pradesh,Lahul & Spiti,2025-03,0.0,6.0,12.0,18.0,18.0
Himachal Pradesh,Lahul & Spiti,2025-04,1.0,4.0,8.0,12.0,6.0
Himachal Pradesh,Lahul & Spiti,2025-05,3.0,2.0,19.0,21.0,5.25
Himachal Pradesh,Lahul & Spiti,2025-06,0.0,4.0,18.0,22.0,22.0
Himachal Pradesh,Lahul & Spiti,2025-07,1.0,6.0,12.0,18.0,9.0
Himachal Pradesh,Lahul & Spiti,2025-08,3.0,13.0,25.0,38.0,9.5
Himachal Pradesh,Lahul & Spiti,2025-09,3.0,10.0,21.0,31.0,7.75
Himachal Pradesh,Lahul & Spiti,2025-10,1.0,8.0,19.0,27.0,13.5
Himachal Pradesh,Lahul & Spiti,2025-11,0.0,14.0,17.0,31.0,31.0
Himachal Pradesh,Lahul & Spiti,2025-12,2.0,11.0,20.0,31.0,10.333333333333334
Himachal Pradesh,Lahul & Spiti,NaT,23.0,124.0,277.0,401.0,16.708333333333332
Himachal Pradesh,Lahul And Spiti,2025-01,1.0,4.0,211.0,215.0,107.5
Himachal Pradesh,Lahul And Spiti,2025-02,1.0,4.0,35.0,39.0,19.5
Himachal Pradesh,Lahul And Spiti,2025-03,1.0,10.0,27.0,37.0,18.5
Himachal Pradesh,Lahul And Spiti,2025-04,0.0,2.0,11.0,13.0,13.0
Himachal Pradesh,Lahul And Spiti,2025-05,0.0,3.0,26.0,29.0,29.0
Himachal Pradesh,Lahul And Spiti,2025-06,0.0,4.0,29.0,33.0,33.0
Himachal Pradesh,Lahul And Spiti,2025-07,0.0,2.0,18.0,20.0,20.0
Himachal Pradesh,Lahul And Spiti,2025-08,0.0,5.0,25.0,30.0,30.0
Himachal Pradesh,Lahul And Spiti,2025-09,2.0,9.0,18.0,27.0,9.0
Himachal Pradesh,Lahul And Spiti,2025-10,3.0,6.0,17.0,23.0,5.75
Himachal Pradesh,Lahul And Spiti,2025-11,1.0,12.0,32.0,44.0,22.0
Himachal Pradesh,Lahul And Spiti,2025-12,0.0,7.0,21.0,28.0,28.0
Himachal Pradesh,Lahul And Spiti,NaT,22.0,101.0,253.0,354.0,15.391304347826088
Himachal Pradesh,Mandi,2025-01,23.0,3378.0,38221.0,41599.0,1733.2916666666667
Himachal Pradesh,Mandi,2025-02,87.0,361.0,1463.0,1824.0,20.727272727272727
Himachal Pradesh,Mandi,2025-03,38.0,364.0,1163.0,1527.0,39.15384615384615
Himachal Pradesh,Mandi,2025-04,15.0,403.0,598.0,1001.0,62.5625
Himachal Pradesh,Mandi,2025-05,63.0,287.0,900.0,1187.0,18.546875
Himachal Pradesh,Mandi,2025-06,51.0,315.0,1141.0,1456.0,28.0
Himachal Pradesh,Mandi,2025-07,37.0,192.0,649.0,841.0,22.13157894736842
Himachal Pradesh,Mandi,2025-08,94.0,510.0,780.0,1290.0,13.578947368421051
Himachal Pradesh,Mandi,2025-09,71.0,383.0,935.0,1318.0,18.30555555555556
Himachal Pradesh,Mandi,2025-10,101.0,469.0,918.0,1387.0,13.598039215686274
Himachal Pradesh,Mandi,2025-11,68.0,349.0,877.0,1226.0,17.768115942028984
Himachal Pradesh,Mandi,2025-12,54.0,461.0,817.0,1278.0,23.23636363636364
Himachal Pradesh,Mandi,NaT,1734.0,5224.0,12961.0,18185.0,10.481268011527378
Himachal Pradesh,Shimla,2025-01,10.0,2822.0,22744.0,25566.0,2324.181818181818
Himachal Pradesh,Shimla,2025-02,56.0,315.0,897.0,1212.0,21.26315789473684
Himachal Pradesh,Shimla,2025-03,26.0,291.0,776.0,1067.0,39.51851851851852
Himachal Pradesh,Shimla,2025-04,11.0,311.0,380.0,691.0,57.583333333333336
Himachal Pradesh,Shimla,2025-05,38.0,288.0,574.0,862.0,22.102564102564106
Himachal Pradesh,Shimla,2025-06,35.0,326.0,791.0,1117.0,31.02777777777778
Himachal Pradesh,Shimla,2025-07,22.0,164.0,472.0,636.0,27.65217391304348
Himachal Pradesh,Shimla,2025-08,47.0,458.0,512.0,970.0,20.20833333333333
Himachal Pradesh,Shimla,2025-09,47.0,477.0,602.0,1079.0,22.479166666666668
Himachal Pradesh,Shimla,2025-10,50.0,476.0,563.0,1039.0,20.37254901960784
Himachal Pradesh,Shimla,2025-11,36.0,516.0,661.0,1177.0,31.81081081081081
Himachal Pradesh,Shimla,2025-12,40.0,517.0,571.0,1088.0,26.536585365853657
Himachal Pradesh,Shimla,NaT,1207.0,5376.0,8980.0,14356.0,11.8841059602649
Himachal Pradesh,Sirmaur,2025-01,9.0,7547.0,21845.0,29392.0,2939.2
Himachal Pradesh,Sirmaur,2025-02,48.0,187.0,418.0,605.0,12.346938775510203
Himachal Pradesh,Sirmaur,2025-03,18.0,272.0,433.0,705.0,37.10526315789474
Himachal Pradesh,Sirmaur,2025-04,6.0,233.0,300.0,533.0,76.14285714285714
Himachal Pradesh,Sirmaur,2025-05,49.0,268.0,312.0,580.0,11.6
Himachal Pradesh,Sirmaur,2025-06,47.0,229.0,415.0,644.0,13.416666666666666
Himachal Pradesh,Sirmaur,2025-07,22.0,119.0,212.0,331.0,14.391304347826088
Himachal Pradesh,Sirmaur,2025-08,54.0,324.0,293.0,617.0,11.21818181818182
Himachal Pradesh,Sirmaur,2025-09,71.0,359.0,369.0,728.0,10.11111111111111
Himachal Pradesh,Sirmaur,2025-10,50.0,345.0,435.0,780.0,15.294117647058824
Himachal Pradesh,Sirmaur,2025-11,56.0,355.0,445.0,800.0,14.035087719298245
Himachal Pradesh,Sirmaur,2025-12,48.0,455.0,500.0,955.0,19.489795918367346
Himachal Pradesh,Sirmaur,NaT,1048.0,4188.0,4903.0,9091.0,8.666348903717827
Himachal Pradesh,Solan,2025-01,16.0,1775.0,20318.0,22093.0,1299.5882352941176
Himachal Pradesh,Solan,2025-02,47.0,227.0,749.0,976.0,20.33333333333333
Himachal Pradesh,Solan,2025-03,15.0,196.0,578.0,774.0,48.375
Himachal Pradesh,Solan,2025-04,10.0,260.0,436.0,696.0,63.27272727272727
Himachal Pradesh,Solan,2025-05,48.0,220.0,515.0,735.0,15.0
Himachal Pradesh,Solan,2025-06,32.0,202.0,635.0,837.0,25.363636363636363
Himachal Pradesh,Solan,2025-07,19.0,88.0,383.0,471.0,23.55
Himachal Pradesh,Solan,2025-08,42.0,247.0,389.0,636.0,14.790697674418604
Himachal Pradesh,Solan,2025-09,37.0,284.0,557.0,841.0,22.13157894736842
Himachal Pradesh,Solan,2025-10,42.0,245.0,362.0,607.0,14.116279069767442
Himachal Pradesh,Solan,2025-11,26.0,232.0,472.0,704.0,26.074074074074076
Himachal Pradesh,Solan,2025-12,35.0,278.0,533.0,811.0,22.52777777777778
Himachal Pradesh,Solan,NaT,772.0,2973.0,6739.0,9712.0,12.564036222509705
Himachal Pradesh,Una,2025-01,14.0,1566.0,18131.0,19697.0,1313.1333333333334
Himachal Pradesh,Una,2025-02,41.0,347.0,720.0,1067.0,25.404761904761905
Himachal Pradesh,Una,2025-03,19.0,315.0,622.0,937.0,46.85
Himachal Pradesh,Una,2025-04,14.0,308.0,432.0,740.0,49.333333333333336
Himachal Pradesh,Una,2025-05,33.0,213.0,394.0,607.0,17.852941176470587
Himachal Pradesh,Una,2025-06,35.0,217.0,586.0,803.0,22.30555555555556
Himachal Pradesh,Una,2025-07,14.0,72.0,257.0,329.0,21.933333333333334
Himachal Pradesh,Una,2025-08,57.0,309.0,371.0,680.0,11.724137931034482
Himachal Pradesh,Una,2025-09,49.0,336.0,468.0,804.0,16.08
Himachal Pradesh,Una,2025-10,36.0,271.0,388.0,659.0,17.81081081081081
Himachal Pradesh,Una,2025-11,33.0,265.0,617.0,882.0,25.94117647058824
Himachal Pradesh,Una,2025-12,28.0,228.0,458.0,686.0,23.655172413793103
Himachal Pradesh,Una,NaT,830.0,3059.0,7193.0,10252.0,12.336943441636585
Jaipur,Near Meera Hospital,NaT,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Anantnag,2025-05,0.0,1.0,1.0,2.0,2.0
Jammu & Kashmir,Anantnag,2025-08,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Anantnag,2025-10,1.0,1.0,0.0,1.0,0.5
Jammu & Kashmir,Anantnag,2025-11,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Anantnag,2025-12,0.0,1.0,1.0,2.0,2.0
Jammu & Kashmir,Anantnag,NaT,3.0,3.0,3.0,6.0,1.5
Jammu & Kashmir,Badgam,2025-03,0.0,1.0,2.0,3.0,3.0
Jammu & Kashmir,Badgam,2025-09,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Badgam,NaT,1.0,1.0,7.0,8.0,4.0
Jammu & Kashmir,Bandipur,2025-07,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Bandipur,NaT,2.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Baramula,2025-01,0.0,3.0,4.0,7.0,7.0
Jammu & Kashmir,Baramula,2025-02,3.0,4.0,3.0,7.0,1.75
Jammu & Kashmir,Baramula,2025-03,0.0,1.0,2.0,3.0,3.0
Jammu & Kashmir,Baramula,2025-04,2.0,6.0,3.0,9.0,3.0
Jammu & Kashmir,Baramula,2025-05,2.0,3.0,1.0,4.0,1.3333333333333333
Jammu & Kashmir,Baramula,2025-06,3.0,5.0,3.0,8.0,2.0
Jammu & Kashmir,Baramula,2025-07,0.0,1.0,1.0,2.0,2.0
Jammu & Kashmir,Baramula,2025-08,0.0,5.0,5.0,10.0,10.0
Jammu & Kashmir,Baramula,2025-09,0.0,2.0,4.0,6.0,6.0
Jammu & Kashmir,Baramula,2025-10,1.0,2.0,5.0,7.0,3.5
Jammu & Kashmir,Baramula,2025-11,2.0,3.0,2.0,5.0,1.6666666666666667
Jammu & Kashmir,Baramula,2025-12,2.0,2.0,4.0,6.0,2.0
Jammu & Kashmir,Baramula,NaT,31.0,39.0,31.0,70.0,2.1875
Jammu & Kashmir,Doda,2025-02,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Doda,2025-03,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Doda,2025-06,1.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Doda,2025-07,1.0,0.0,1.0,1.0,0.5
Jammu & Kashmir,Doda,NaT,0.0,3.0,2.0,5.0,5.0
Jammu & Kashmir,Jammu,2025-01,1.0,4.0,6.0,10.0,5.0
Jammu & Kashmir,Jammu,2025-02,2.0,6.0,10.0,16.0,5.333333333333333
Jammu & Kashmir,Jammu,2025-03,1.0,5.0,12.0,17.0,8.5
Jammu & Kashmir,Jammu,2025-04,1.0,13.0,6.0,19.0,9.5
Jammu & Kashmir,Jammu,2025-05,2.0,5.0,8.0,13.0,4.333333333333333
Jammu & Kashmir,Jammu,2025-06,0.0,5.0,7.0,12.0,12.0
Jammu & Kashmir,Jammu,2025-07,1.0,3.0,3.0,6.0,3.0
Jammu & Kashmir,Jammu,2025-08,2.0,5.0,9.0,14.0,4.666666666666667
Jammu & Kashmir,Jammu,2025-09,4.0,3.0,11.0,14.0,2.8
Jammu & Kashmir,Jammu,2025-10,4.0,8.0,6.0,14.0,2.8
Jammu & Kashmir,Jammu,2025-11,1.0,11.0,10.0,21.0,10.5
Jammu & Kashmir,Jammu,2025-12,2.0,8.0,10.0,18.0,6.0
Jammu & Kashmir,Jammu,NaT,39.0,76.0,118.0,194.0,4.85
Jammu & Kashmir,Kargil,2025-01,1.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Kargil,2025-02,0.0,2.0,0.0,2.0,2.0
Jammu & Kashmir,Kargil,2025-06,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Kargil,2025-08,0.0,1.0,1.0,2.0,2.0
Jammu & Kashmir,Kargil,2025-09,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Kargil,NaT,2.0,3.0,0.0,3.0,1.0
Jammu & Kashmir,Kathua,2025-01,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Kathua,2025-02,0.0,1.0,2.0,3.0,3.0
Jammu & Kashmir,Kathua,2025-03,0.0,2.0,0.0,2.0,2.0
Jammu & Kashmir,Kathua,2025-04,0.0,0.0,3.0,3.0,3.0
Jammu & Kashmir,Kathua,2025-05,0.0,0.0,4.0,4.0,4.0
Jammu & Kashmir,Kathua,2025-06,0.0,2.0,3.0,5.0,5.0
Jammu & Kashmir,Kathua,2025-08,0.0,1.0,1.0,2.0,2.0
Jammu & Kashmir,Kathua,2025-09,0.0,2.0,2.0,4.0,4.0
Jammu & Kashmir,Kathua,2025-10,0.0,2.0,1.0,3.0,3.0
Jammu & Kashmir,Kathua,2025-11,0.0,1.0,2.0,3.0,3.0
Jammu & Kashmir,Kathua,2025-12,0.0,1.0,1.0,2.0,2.0
Jammu & Kashmir,Kathua,NaT,8.0,23.0,26.0,49.0,5.444444444444445
Jammu & Kashmir,Kupwara,2025-01,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Kupwara,2025-04,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Kupwara,2025-08,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Kupwara,2025-09,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Kupwara,2025-11,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Kupwara,2025-12,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Kupwara,NaT,6.0,2.0,2.0,4.0,0.5714285714285714
Jammu & Kashmir,Leh (Ladakh),2025-04,0.0,1.0,1.0,2.0,2.0
Jammu & Kashmir,Leh (Ladakh),2025-06,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Leh (Ladakh),NaT,2.0,4.0,7.0,11.0,3.6666666666666665
Jammu & Kashmir,Pulwama,2025-04,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Pulwama,NaT,4.0,1.0,1.0,2.0,0.4
Jammu & Kashmir,Punch,2025-10,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Punch,2025-11,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Punch,NaT,1.0,2.0,3.0,5.0,2.5
Jammu & Kashmir,Rajauri,2025-01,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Rajauri,2025-02,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Rajauri,2025-04,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Rajauri,2025-05,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Rajauri,2025-06,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Rajauri,2025-07,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Rajauri,2025-08,0.0,2.0,0.0,2.0,2.0
Jammu & Kashmir,Rajauri,2025-11,1.0,2.0,0.0,2.0,1.0
Jammu & Kashmir,Rajauri,2025-12,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Rajauri,NaT,1.0,4.0,9.0,13.0,6.5
Jammu & Kashmir,Srinagar,2025-01,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Srinagar,2025-04,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Srinagar,2025-06,1.0,0.0,1.0,1.0,0.5
Jammu & Kashmir,Srinagar,2025-07,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Srinagar,2025-09,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Srinagar,2025-10,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Srinagar,2025-11,0.0,2.0,1.0,3.0,3.0
Jammu & Kashmir,Srinagar,NaT,2.0,5.0,8.0,13.0,4.333333333333333
Jammu & Kashmir,Udhampur,2025-01,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Udhampur,2025-04,0.0,1.0,0.0,1.0,1.0
Jammu & Kashmir,Udhampur,2025-06,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Udhampur,2025-07,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Udhampur,2025-09,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Udhampur,2025-10,0.0,0.0,1.0,1.0,1.0
Jammu & Kashmir,Udhampur,NaT,2.0,1.0,3.0,4.0,1.3333333333333333
Jammu And Kashmir,?,NaT,0.0,0.0,1.0,1.0,1.0
Jammu And Kashmir,Anantnag,2025-01,89.0,12520.0,26258.0,38778.0,430.8666666666667
Jammu And Kashmir,Anantnag,2025-02,132.0,462.0,625.0,1087.0,8.172932330827068
Jammu And Kashmir,Anantnag,2025-03,23.0,477.0,461.0,938.0,39.083333333333336
Jammu And Kashmir,Anantnag,2025-04,35.0,459.0,630.0,1089.0,30.25
Jammu And Kashmir,Anantnag,2025-05,76.0,372.0,423.0,795.0,10.324675324675324
Jammu And Kashmir,Anantnag,2025-06,49.0,503.0,493.0,996.0,19.92
Jammu And Kashmir,Anantnag,2025-07,35.0,290.0,333.0,623.0,17.305555555555557
Jammu And Kashmir,Anantnag,2025-08,97.0,678.0,667.0,1345.0,13.724489795918368
Jammu And Kashmir,Anantnag,2025-09,122.0,488.0,580.0,1068.0,8.682926829268293
Jammu And Kashmir,Anantnag,2025-10,119.0,507.0,608.0,1115.0,9.291666666666666
Jammu And Kashmir,Anantnag,2025-11,103.0,579.0,679.0,1258.0,12.096153846153848
Jammu And Kashmir,Anantnag,2025-12,28.0,510.0,581.0,1091.0,37.62068965517241
Jammu And Kashmir,Anantnag,NaT,2319.0,8013.0,14037.0,22050.0,9.504310344827584
Jammu And Kashmir,Badgam,2025-01,43.0,4180.0,8999.0,13179.0,299.52272727272725
Jammu And Kashmir,Badgam,2025-02,71.0,249.0,200.0,449.0,6.236111111111111
Jammu And Kashmir,Badgam,2025-03,30.0,197.0,174.0,371.0,11.96774193548387
Jammu And Kashmir,Badgam,2025-04,26.0,280.0,187.0,467.0,17.296296296296298
Jammu And Kashmir,Badgam,2025-05,51.0,138.0,155.0,293.0,5.634615384615385
Jammu And Kashmir,Badgam,2025-06,33.0,254.0,184.0,438.0,12.882352941176473
Jammu And Kashmir,Badgam,2025-07,20.0,115.0,93.0,208.0,9.904761904761903
Jammu And Kashmir,Badgam,2025-08,71.0,307.0,220.0,527.0,7.319444444444445
Jammu And Kashmir,Badgam,2025-09,73.0,190.0,154.0,344.0,4.648648648648648
Jammu And Kashmir,Badgam,2025-10,62.0,214.0,161.0,375.0,5.9523809523809526
Jammu And Kashmir,Badgam,2025-11,45.0,248.0,175.0,423.0,9.195652173913045
Jammu And Kashmir,Badgam,2025-12,14.0,205.0,157.0,362.0,24.133333333333333
Jammu And Kashmir,Badgam,NaT,1284.0,3391.0,3030.0,6421.0,4.996887159533074
Jammu And Kashmir,Bandipore,2025-01,52.0,5513.0,12779.0,18292.0,345.1320754716981
Jammu And Kashmir,Bandipore,2025-02,71.0,325.0,296.0,621.0,8.625
Jammu And Kashmir,Bandipore,2025-03,50.0,221.0,261.0,482.0,9.450980392156865
Jammu And Kashmir,Bandipore,2025-04,22.0,246.0,261.0,507.0,22.043478260869566
Jammu And Kashmir,Bandipore,2025-05,38.0,206.0,164.0,370.0,9.487179487179487
Jammu And Kashmir,Bandipore,2025-06,53.0,247.0,262.0,509.0,9.425925925925926
Jammu And Kashmir,Bandipore,2025-07,15.0,98.0,112.0,210.0,13.125
Jammu And Kashmir,Bandipore,2025-08,47.0,270.0,290.0,560.0,11.666666666666666
Jammu And Kashmir,Bandipore,2025-09,63.0,194.0,276.0,470.0,7.34375
Jammu And Kashmir,Bandipore,2025-10,64.0,227.0,263.0,490.0,7.538461538461538
Jammu And Kashmir,Bandipore,2025-11,31.0,150.0,272.0,422.0,13.1875
Jammu And Kashmir,Bandipore,2025-12,6.0,221.0,220.0,441.0,63.0
Jammu And Kashmir,Bandipore,NaT,1089.0,3084.0,4378.0,7462.0,6.845871559633028
Jammu And Kashmir,Bandipur,2025-01,0.0,1.0,0.0,1.0,1.0
Jammu And Kashmir,Baramula,2025-01,257.0,12564.0,37348.0,49912.0,193.45736434108528
Jammu And Kashmir,Baramula,2025-02,180.0,531.0,1035.0,1566.0,8.651933701657459
Jammu And Kashmir,Baramula,2025-03,76.0,667.0,905.0,1572.0,20.415584415584416
Jammu And Kashmir,Baramula,2025-04,52.0,622.0,1094.0,1716.0,32.37735849056604
Jammu And Kashmir,Baramula,2025-05,79.0,367.0,730.0,1097.0,13.7125
Jammu And Kashmir,Baramula,2025-06,63.0,509.0,856.0,1365.0,21.328125
Jammu And Kashmir,Baramula,2025-07,47.0,330.0,441.0,771.0,16.0625
Jammu And Kashmir,Baramula,2025-08,97.0,643.0,872.0,1515.0,15.459183673469388
Jammu And Kashmir,Baramula,2025-09,79.0,505.0,853.0,1358.0,16.975
Jammu And Kashmir,Baramula,2025-10,109.0,469.0,945.0,1414.0,12.854545454545455
Jammu And Kashmir,Baramula,2025-11,81.0,530.0,973.0,1503.0,18.32926829268293
Jammu And Kashmir,Baramula,2025-12,43.0,432.0,786.0,1218.0,27.681818181818183
Jammu And Kashmir,Baramula,NaT,2488.0,7460.0,13437.0,20897.0,8.395741261550823
Jammu And Kashmir,Budgam,2025-01,24.0,9874.0,13977.0,23851.0,954.04
Jammu And Kashmir,Budgam,2025-02,30.0,179.0,434.0,613.0,19.774193548387096
Jammu And Kashmir,Budgam,2025-03,13.0,99.0,283.0,382.0,27.285714285714285
Jammu And Kashmir,Budgam,2025-04,6.0,134.0,355.0,489.0,69.85714285714286
Jammu And Kashmir,Budgam,2025-05,17.0,118.0,273.0,391.0,21.72222222222222
Jammu And Kashmir,Budgam,2025-06,11.0,146.0,252.0,398.0,33.166666666666664
Jammu And Kashmir,Budgam,2025-07,16.0,51.0,133.0,184.0,10.823529411764708
Jammu And Kashmir,Budgam,2025-08,31.0,168.0,301.0,469.0,14.65625
Jammu And Kashmir,Budgam,2025-09,27.0,158.0,214.0,372.0,13.285714285714286
Jammu And Kashmir,Budgam,2025-10,25.0,132.0,368.0,500.0,19.23076923076923
Jammu And Kashmir,Budgam,2025-11,20.0,147.0,405.0,552.0,26.285714285714285
Jammu And Kashmir,Budgam,2025-12,9.0,123.0,419.0,542.0,54.2
Jammu And Kashmir,Budgam,NaT,575.0,1928.0,5135.0,7063.0,12.26215277777778
Jammu And Kashmir,Doda,2025-01,601.0,2494.0,21340.0,23834.0,39.59136212624585
Jammu And Kashmir,Doda,2025-02,191.0,142.0,695.0,837.0,4.359375
Jammu And Kashmir,Doda,2025-03,57.0,197.0,555.0,752.0,12.96551724137931
Jammu And Kashmir,Doda,2025-04,7.0,220.0,718.0,938.0,117.25
